"codice isil";"denominazione biblioteca";"tipologia funzionale";"denominazione ente";"tipologia amministrativa"
"IT-BZ0028";"Biblioteca parrocchiale - Pfarrbibliothek";"Pubblica";"Comune di Falzes - Gemeinde Pfalzen";"Comune"
"IT-BZ0029";"Biblioteca pubblica - Öffentliche Bibliothek";"Pubblica";"Comune di Funes - Gemeinde Villnoss";"Comune"
"IT-BZ0030";"Biblioteca pubblica. Sezione staccata di Tiso - Öffentliche Bibliothek. Zweigstelle Teis";"Pubblica";"Comune di Funes - Gemeinde Villnoss";"Comune"
"IT-BZ0033";"Biblioteca pubblica di Gais. Sezione staccata di Villa Ottone – Öffentliche Bibliothek Gais. Zweigstelle Uttenheim";"Pubblica";"Comune di Gais - Gemeinde Gais";"Comune"
"IT-BZ0034";"Biblioteca pubblica italiana - Italienische öffentliche Bibliothek";"Pubblica";"Comune di Gargazzone - Gemeinde Gargazon";"Comune"
"IT-BZ0035";"Biblioteca comunale - Öffentliche Bibliothek";"Pubblica";"Comune di Laces - Gemeinde Latsch";"Comune"
"IT-BZ0036";"Biblioteca comunale. Sezione staccata di Morter - Öffentliche Bibliothek. Zweigstelle Morter";"Pubblica";"Comune di Laces - Gemeinde Latsch";"Comune"
"IT-BZ0037";"Biblioteca comunale. Sezione staccata di Tarres - Öffentliche Bibliothek. Zweigstelle Tarsch";"Pubblica";"Comune di Laces - Gemeinde Tarsch";"Comune"
"IT-BZ0038";"Biblioteca parrocchiale - Pfarrbibliothek";"Pubblica";"Parrocchia di Lagundo - Pfarre Algund";"Enti ecclesiastici"
"IT-BZ0041";"Biblioteca pubblica di Lasa - Öffentliche Bibliothek Laas";"Pubblica";"Comune di Lasa - Gemeinde Laas";"Comune"
"IT-BZ0045";"Biblioteca pubblica - Öffentliche Bibliothek";"Pubblica";"Comune di Meltina - Gemeinde Mlten";"Comune"
"IT-BZ0046";"Biblioteca civica - Stadtbibliothek";"Pubblica";"Comune di Merano - Gemeinde Meran";"Comune"
"IT-BZ0049";"Biblioteca di studio del Museo civico - Studienbücherei Meraner Museum";"Specializzata";"Comune di Merano - Gemeinde Meran";"Comune"
"IT-BZ0050";"Biblioteca pubblica - Örtlich-Öffentliche Bibliothek";"Pubblica";"Comune di Monguelfo - Gemeinde Welsberg";"Comune"
"IT-BZ0052";"Biblioteca pubblica di Naz-Sciaves. Sede principale di Sciaves – Öffentliche Bibliothek Natz-Schabs. Hauptstelle Schabs";"Pubblica";"Comune di di Naz - Natz";"Comune"
"IT-BZ0053";"Biblioteca pubblica. Sezione staccata di Ega - Öffentliche Bibliothek. Zweigstelle Eggen";"Pubblica";"Comune di Nova Ponente - Gemeinde Deutschnofen";"Comune"
"IT-BZ0054";"Biblioteca pubblica - Öffentliche Bibliothek";"Pubblica";"Comune di Nova Ponente - Gemeinde Deutschnofen";"Comune"
"IT-BZ0055";"Biblioteca pubblica. Sezione staccata di Monte San Pietro - Öffentliche Bibliothek. Zweigstelle Petersberg";"Pubblica";"Comune di Nova Ponente - Gemeinde Deutschnofen";"Comune"
"IT-BZ0056";"Biblioteca pubblica - Öffentliche Bibliothek";"Pubblica";"Comune di Ora - Auer";"Comune"
"IT-BZ0057";"Biblioteca ladina ""Anda Malia da Cudan""- Bibliotech ladina - Studienbibliothek";"Specializzata";"Union di Ladins de Gherdeina";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-BZ0058";"Biblioteca specializzata per libri d'arte - Fachbibliothek für Kunstbücher";"Specializzata";"Circolo artistico e culturale - Kreis der Kunst und Kultur";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-BZ0059";"Biblioteca pubblica S. Durich - Öffentliche Bibliothek S. Durich";"Pubblica";"Comune di Ortisei - Gemeinde St. Ulrich";"Comune"
"IT-BZ0062";"Biblioteca pubblica - Öffentliche Bücherei";"Pubblica";"Comune di Parcines - Gemeinde Partschins";"Comune"
"IT-BZ0063";"Biblioteca pubblica - Öffentliche Bibliothek";"Pubblica";"Comune di Prato-Agumes - Prad-Agums";"Comune"
"IT-BZ0064";"Biblioteca pubblica di Proves - Öffentliche Bibliothek Proveis";"Pubblica";"Comune di Proves";"Comune"
"IT-BZ0065";"Biblioteca pubblica. Sezione staccata di Valgiovo - Öffentliche Bibliothek. Zweigstelle Jaufental";"Pubblica";"Comune di Racines - Gemeinde Ratschings";"Comune"
