"codice isil";"denominazione biblioteca";"tipologia funzionale";"denominazione ente";"tipologia amministrativa"
"IT-AN0026";"Biblioteca comunale T. Lippera";"Pubblica";"Comune di Cerreto d'Esi";"Comune"
"IT-AN0027";"Biblioteca comunale Massimo Ferretti";"Pubblica";"Comune di Chiaravalle";"Comune"
"IT-AN0029";"Biblioteca del Convento dei cappuccini";"Specializzata";"Frati minori cappuccini Convento di Corinaldo";"Enti ecclesiastici"
"IT-AN0030";"Biblioteca comunale";"Pubblica";"Comune di Corinaldo";"Comune"
"IT-AN0031";"Biblioteca comunale di Cupramontana";"Pubblica";"Comune di Cupramontana";"Comune"
"IT-AN0033";"Biblioteca Multimediale ""R. Sassi""";"Pubblica";"Comune di Fabriano";"Comune"
"IT-AN0035";"Biblioteca diocesana";"Di conservazione";"Diocesi di Fabriano-Matelica";"Enti ecclesiastici"
"IT-AN0036";"Biblioteca del Monastero S. Silvestro";"Specializzata";"Monastero S. Silvestro Abate";"Enti ecclesiastici"
"IT-AN0039";"Biblioteca storico-francescana e picena";"Specializzata";"Ordine Frati Minori Provincia Picena San Giacomo della Marca";"Enti ecclesiastici"
"IT-AN0040";"Biblioteca comunale";"Pubblica";"Comune di Falconara Marittima";"Comune"
"IT-AN0045";"Biblioteca diocesana Pier Matteo Petrucci";"Specializzata";"Diocesi di Jesi";"Enti ecclesiastici"
"IT-AN0046";"Biblioteca del Convento dei frati cappuccini";"Specializzata";"Frati minori cappuccini. Convento di Jesi";"Enti ecclesiastici"
"IT-AN0047";"Biblioteca comunale Attilio Brugiamolini";"Pubblica";"Comune di Loreto";"Comune"
"IT-AN0049";"Biblioteca comunale Gaspare Spontini";"Pubblica";"Comune di Monte San Vito";"Comune"
"IT-AN0051";"Biblioteca comunale 'Guido Moretti'";"Pubblica";"Comune di Montemarciano";"Comune"
"IT-AN0052";"Biblioteca comunale Morro d'Alba";"Pubblica";"Comune di Morro d'Alba";"Comune"
"IT-AN0053";"Biblioteca dell'Istituto Campana";"Specializzata";"Istituto Campana per l'istruzione permanente";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-AN0054";"Biblioteca comunale Francesco Cini";"Pubblica";"Comune di Osimo";"Comune"
"IT-AN0056";"Biblioteca del Seminario vescovile";"Specializzata";"Diocesi di Ancona-Osimo";"Enti ecclesiastici"
"IT-AN0057";"Biblioteca del Convento S. Giuseppe da Copertino";"Specializzata";"Frati minori conventuali. Convento S. Giuseppe da Copertino di Osimo";"Enti ecclesiastici"
"IT-AN0058";"Biblioteca comunale";"Pubblica";"Comune di Ostra";"Comune"
"IT-AN0061";"Biblioteca comunale Giuseppe Tanfani";"Pubblica";"Comune di Ostra Vetere";"Comune"
"IT-AN0064";"Biblioteca comunale ""Leggere insieme""";"Pubblica";"Comune di San Marcello";"Comune"
"IT-AN0065";"Biblioteca comunale";"Pubblica";"Comune di Sassoferrato";"Comune"
"IT-AN0066";"Biblioteca dei frati minori del Convento La Pace";"Specializzata";"Frati minori OFM. Convento La Pace di Sassoferrato";"Enti ecclesiastici"
"IT-AN0069";"Biblioteca comunale Antonelliana";"Pubblica";"Comune di Senigallia";"Comune"
"IT-AN0074";"Biblioteca comunale";"Pubblica";"Comune di Serra San Quirico";"Comune"
"IT-AN0077";"Biblioteca dell'Istituto nazionale riposo e cura per anziani - INRCA";"Specializzata";"Istituto nazionale riposo e cura per anziani - INRCA";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-AN0080";"Biblioteca comunale";"Pubblica";"Comune di Belvedere Ostrense";"Comune"
"IT-AN0081";"Biblioteca comunale di Castelfidardo";"Pubblica";"Comune di Castelfidardo";"Comune"
"IT-AN0083";"Biblioteca comunale Emidio Bianchi";"Pubblica";"Comune di Filottrano";"Comune"
"IT-AN0084";"Biblioteca della Santa Casa";"Specializzata";"Delegazione pontificia per il Santuario della Santa Casa di Loreto";"Enti ecclesiastici"
"IT-AN0087";"Biblioteca dei cappuccini";"Pubblica";"Frati minori cappuccini. Convento di Ostra";"Enti ecclesiastici"
"IT-AN0088";"Biblioteca del Centro sociale di educazione permanente";"Pubblica";"Comune di Santa Maria Nuova";"Comune"
"IT-AN0089";"Biblioteca diocesana Mastai Ferretti";"Specializzata";"Diocesi di Senigallia";"Enti ecclesiastici"
"IT-AN0090";"Biblioteca comunale 'Il Posto delle Parole'";"Pubblica";"Comune di Serra de' Conti";"Comune"
"IT-AN0091";"Biblioteca Comunale ""Corrado Danti""";"Pubblica";"Comune di Staffolo";"Comune"
"IT-AN0092";"Biblioteca comunale Planettiana";"Pubblica";"Comune di Jesi";"Comune"
"IT-AN0094";"Biblioteca comunale Planettiana - Sezione Ragazzi";"Pubblica";"Comune di Jesi";"Comune"
"IT-AN0098";"Biblioteca Economico Giuridica Sociologica - Centro di Ateneo di Documentazione - Università Politecnica delle Marche";"Istituto di insegnamento superiore";"Università politecnica delle Marche";"Universita' statali"
"IT-AN0100";"Biblioteca Medica Torrette - Centro di Ateneo di Documentazione - Università Politecnica delle Marche";"Istituto di insegnamento superiore";"Università politecnica delle Marche";"Universita' statali"
"IT-AN0101";"Biblioteca del Dipartimento di elettronica e automatica dell'Università degli studi di Ancona";"Istituto di insegnamento superiore";"Università degli studi di Ancona. Dipartimento di elettronica e automatica";"Universita' statali"
"IT-AN0102";"Biblioteca del Dipartimento di scienze dei materiali e della terra dell'Università degli studi di Ancona";"Istituto di insegnamento superiore";"Università degli studi di Ancona. Dipartimento di scienze dei materiali e della terra";"Universita' statali"
"IT-AN0103";"Biblioteca del Dipartimento di energetica dell'Università degli studi di Ancona";"Istituto di insegnamento superiore";"Università degli studi di Ancona. Dipartimento di energetica";"Universita' statali"
"IT-AN0105";"Biblioteca del Dipartimento di economia dell'Università degli studi di Ancona";"Istituto di insegnamento superiore";"Università degli studi di Ancona. Dipartimento di economia";"Universita' statali"
"IT-AN0106";"Biblioteca del Dipartimento di matematica Vito Volterra dell'Università degli studi di Ancona";"Istituto di insegnamento superiore";"Università degli studi di Ancona. Dipartimento di matematica";"Universita' statali"
"IT-AN0107";"Biblioteca del Dipartimento di meccanica dell'Università degli studi di Ancona";"Istituto di insegnamento superiore";"Università degli studi di Ancona. Dipartimento di meccanica";"Universita' statali"
"IT-AN0108";"Biblioteca comunale";"Pubblica";"Comune di Barbara";"Comune"
"IT-AN0110";"Biblioteca dell'Abbazia di S. Maria in Castagnola";"Specializzata";"Cistercensi di S. Bernardo d'Italia Abbazia S. Maria in Castagnola di Chiaravalle";"Enti ecclesiastici"
"IT-AN0111";"Biblioteca di pace";"Pubblica";"Comune di Monsano";"Comune"
"IT-AN0114";"Biblioteca del Capitolo della cattedrale";"Di conservazione";"Capitolo della cattedrale di Osimo";"Enti ecclesiastici"
"IT-AN0115";"Biblioteca del Monastero delle benedettine di S. Luca";"Specializzata";"Benedettine cassinesi Monastero S. Luca di Fabriano";"Enti ecclesiastici"
"IT-AN0116";"Biblioteca comunale";"Pubblica";"Comune di Castelleone di Suasa";"Comune"
"IT-AN0117";"Biblioteca dell'Istituto di scienza e tecnica delle costruzioni della Facoltà di ingegneria dell'Università degli studi di Ancona";"Istituto di insegnamento superiore";"Università degli studi di Ancona. Facoltà di ingegneria. Istituto di scienza e tecnica delle costruzioni";"Universita' statali"
"IT-AN0118";"Biblioteca dell'Istituto di anatomia e istologia patologica della Facoltà di medicina e chirurgia dell'Università degli studi di Ancona";"Istituto di insegnamento superiore";"Università degli studi di Ancona. Facoltà di medicina e chirurgia. Istituto di anatomia e istologia patologica";"Universita' statali"
"IT-AN0121";"Biblioteca Mons. Vittorio Tomassetti del Pontificio Seminario Marchigiano PIO XI";"Specializzata";"Pontificio Seminario Regionale Marchigiano ""PIO XI""";"Enti ecclesiastici"
"IT-AN0122";"Biblioteca dell'Assemblea Legislativa - Consiglio regionale";"Specializzata";"Regione Marche";"Regione"
"IT-AN0123";"Biblioteca della Soprintendenza Archivistica e bibliografica delle Marche";"Specializzata";"Ministero della Cultura. Soprintendenza Archivistica e bibliografica delle Marche";"Direzione Generale Archivi"
"IT-AN0125";"Biblioteca dell'Istituto di disegno, architettura e urbanistica della Facoltà di ingegneria dell'Università degli studi di Ancona";"Istituto di insegnamento superiore";"Università degli studi di Ancona. Facoltà di ingegneria. Istituto di disegno, architettura e urbanistica";"Universita' statali"
"IT-AN0126";"Biblioteca Tecnico Scientifica Biomedica - Centro di Ateneo di Documentazione - Polo Montedago - Università Politecnica delle Marche";"Istituto di insegnamento superiore";"Università politecnica delle Marche";"Universita' statali"
"IT-AN0131";"Biblioteca dell'Istituto musicale G.B. Pergolesi";"Scolastica";"Ministero dell'istruzione, dell'università e della ricerca - Istituto Superiore di Studi Musicale Giovanni Battista Pergolesi - Ancona";"Presidenza del consiglio dei ministri e ministeri"
"IT-AN0134";"Biblioteca della Scuola diretta a fini speciali di scienze e tecniche cartarie dell'Università degli studi di Camerino. Sede di Fabriano";"Istituto di insegnamento superiore";"Università degli studi di Camerino. Sede di Fabriano. Scuola diretta a fini speciali di scienze e tecniche cartarie";"Universita' statali"
"IT-AN0135";"Biblioteca dell'Istituto di studi storici, sociologici e linguistici della Facoltà di economia dell'Università degli studi di Ancona";"Istituto di insegnamento superiore";"Università degli studi di Ancona. Facoltà di economia. Istituto di studi storici, sociologici e linguistici";"Universita' statali"
"IT-AN0169";"Biblioteca Fondazione Angelo Colocci";"Istituto di insegnamento superiore";"Fondazione Angelo Colocci";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-AN0171";"Biblioteca comunale L. Marcelli Jidalla";"Pubblica";"Comune di Numana";"Comune"
"IT-AN0177";"Biblioteca scolastica del Liceo scientifico Enrico Medi";"Scolastica";"Ministero dell'istruzione, dell'università e della ricerca";"Presidenza del consiglio dei ministri e ministeri"
"IT-AN0178";"Biblioteca dell'Istituto Gramsci Marche";"Specializzata";"Istituto Gramsci Marche";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-AN0179";"Biblioteca comunale Città di Trecastelli";"Pubblica";"comune di Ripe";"Comune"
"IT-AN0180";"Biblioteca dell'Istituto professionale industria e artigianato Bettino Padovano";"Scolastica";"Ministero dell'istruzione, dell'università e della ricerca";"Presidenza del consiglio dei ministri e ministeri"
"IT-AN0181";"Biblioteca di Casa Montessori Chiaravalle";"Specializzata";"Fondazione Chiaravalle-Montessori";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-AN0182";"BIBLIOTECA DELL'ISTITUTO D'ISTRUZIONE SUPERIORE VOLTERRA-ELIA";"Scolastica";"Ministero dell'istruzione, dell'università e della ricerca";"Presidenza del consiglio dei ministri e ministeri"
"IT-AN0183";"Biblioteca dell'Istituto tecnico commerciale e per geometri Ferruccio Corinaldesi";"Scolastica";"Ministero dell'istruzione, dell'università e della ricerca";"Presidenza del consiglio dei ministri e ministeri"
"IT-AN0184";"Biblioteca del Liceo classico Giulio Perticari";"Scolastica";"Ministero dell'istruzione, dell'università e della ricerca";"Presidenza del consiglio dei ministri e ministeri"
"IT-AN0185";"Biblioteca La Fornace";"Pubblica";"Comune di Maiolati Spontini";"Comune"
"IT-AN0186";"Biblioteca Mattatoio n. 46";"Pubblica";"Casa delle Culture";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-AN0187";"Piccola Biblioteca della Shoah";"Specializzata";"Unione Montana dell'Esino-Frasassi";"Unione di Comuni"
"IT-AN0188";"Biblioteca comunale";"Pubblica";"Comune di Genga";"Comune"
"IT-AN0189";"Biblioteca comunale";"Pubblica";"Comune di Mergo";"Comune"
"IT-AN0190";"Biblioteca comunale di Angeli di Rosora";"Pubblica";"Comune di Rosora";"Comune"
"IT-AN0191";"Biblioteca dell'Istituto Professionale di Stato per l'Industria e l'Artigianato G.B. Miliani";"Scolastica";"Ministero dell'istruzione, dell'università e della ricerca";"Presidenza del consiglio dei ministri e ministeri"
"IT-AN0192";"Biblioteca dell'Istituto Tecnico Agrario Statale G. Vivarelli";"Scolastica";"Ministero dell'istruzione, dell'università e della ricerca";"Presidenza del consiglio dei ministri e ministeri"
"IT-AN0193";"Biblioteca comunale";"Pubblica";"Comune di Polverigi";"Comune"
"IT-AN0194";"Biblioteca della CGIL - Confederazione generale italiana del lavoro";"Specializzata";"CGIL - Confederazione generale italiana del lavoro - Ancona";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-AN0195";"Biblioteca dell'Assemblea legislativa delle Marche - Sezione Giuridica";"Specializzata";"Regione Marche";"Regione"
"IT-AN0196";"Biblioteca dell'Assemblea legislativa delle Marche - Archivio regionale della produzione editoriale";"Specializzata";"Regione Marche";"Regione"
"IT-AN0198";"Biblioteca “Elena e Giuseppe Chiostergi” del Centro cooperativo mazziniano";"Specializzata";"Centro cooperativo mazziniano";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-AN0303";"Biblioteca speciale e Centro di documentazione della Fondazione A.R.C.A. - Autismo Relazioni Cultura e Arte";"Specializzata";"Fondazione A.R.C.A. - Autismo Relazioni Cultura e Arte";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-AN0304";"Biblioteca della Fondazione Cassa di Risparmio di Jesi";"Di conservazione";"Fondazione Cassa di Risparmio di Jesi";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-AN0330";"Biblioteca Comunale ""Sara Iommi""";"Pubblica";"Comune di Agugliano";"Comune"
"IT-AN0331";"Biblioteca dell'Istituto d'Istruzione Superiore Galilei";"Scolastica";"Ministero dell'istruzione, dell'università e della ricerca. Istituto d'Istruzione Superiore Galilei - Jesi";"Presidenza del consiglio dei ministri e ministeri"
"IT-AN0332";"Biblioteca Isola del Tesoro";"Pubblica";"Comune di Ancona";"Comune"
"IT-AN0333";"Biblioteca comunale ""Evaristo Breccia""";"Pubblica";"Comune di Offagna";"Comune"
"IT-AN0334";"Biblioteca Poliarte";"Specializzata";"Accademia di belle arti e design Poliarte";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-AN0335";"BiblioLab ""Donatello"" dell'Istituto comprensivo ""Cittadella - Hack""";"Scolastica";"Ministero dell'istruzione, dell'università e della ricerca. Istituto comprensivo ""Cittadella - Hack""";"Presidenza del consiglio dei ministri e ministeri"
"IT-AN0336";"Biblioteca del Liceo classico Vittorio Emanuele II";"Scolastica";"Ministero dell'istruzione, dell'università e della ricerca. Liceo classico Vittorio Emanuele II";"Presidenza del consiglio dei ministri e ministeri"
"IT-AN0337";"Biblioteca “Armezzani”";"Scolastica";"Ministero dell'istruzione, dell'università e della ricerca. Liceo Classico “Stelluti”";"Presidenza del consiglio dei ministri e ministeri"
"IT-AN0338";"Biblioteca del Liceo Scientifico ""Da Vinci""";"Scolastica";"Ministero dell'istruzione, dell'università e della ricerca. Liceo Scientifico ""Leonardo da Vinci""";"Presidenza del consiglio dei ministri e ministeri"
"IT-AN0339";"Biblioteca del Liceo Scientifico ""Volterra""";"Scolastica";"Ministero dell'istruzione, dell'università e della ricerca. Liceo Scientifico ""Volterra""";"Presidenza del consiglio dei ministri e ministeri"
"IT-AN0340";"Biblioteca del Parco Naturale del Conero";"Specializzata";"Ente Parco Regionale del Conero";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-AN0341";"Biblioteca Ragazzi ""Armando Novelli""";"Pubblica";"Comune di Ancona";"Comune"
"IT-AN0342";"Biblioteca della Pinacoteca F. Podesti";"Specializzata";"Comune di Ancona";"Comune"
"IT-AN0343";"MobyBook";"Pubblica";"Comune di Ancona";"Comune"
"IT-AN0344";"Biblioteca ""Bruno Cantarini"" del Liceo Artistico “Edgardo Mannucci""";"Scolastica";"Ministero dell'istruzione, dell'università e della ricerca. Liceo Artistico Edgardo Mannucci di Ancona";"Presidenza del consiglio dei ministri e ministeri"
"IT-AN0345";"Biblioteca comunale per ragazzi ""Raul Bartoli""";"Pubblica";"Comune di Camerata Picena";"Comune"
"IT-AN0346";"Biblioteca della Fondazione Rosellini per la Letteratura Popolare Onlus";"Specializzata";"Fondazione Rosellini per la Letteratura Popolare ONLUS";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-AN0347";"Biblioteca Crocioni";"Scolastica";"Ministero dell'istruzione dell'università e della ricerca. Istituto comprensivo Ostra";"Presidenza del consiglio dei ministri e ministeri"
"IT-AN0348";"Biblioteca del Centro Informazione Statistica - Cis Istat - Sede delle Marche";"Specializzata";"Istituto nazionale di statistica - ISTAT";"Aziende ed amministrazioni dello stato ad ordinamento autonomo"
"IT-AN0349";"Biblioteca dell'Archivio Storico Cartiere Miliani";"Specializzata";"Fondazione Fedrigoni Fabriano";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-AN0350";"Biblioteca dei Musei Civici di Palazzo Pianetti";"Specializzata";"Comune di Jesi";"Comune"
"IT-AN0352";"Biblioteca ""A Spasso tra i libri"" di Torrette";"Pubblica";"Comune di Ancona";"Comune"
"IT-AN0353";"Biblioteca Scolastica Diffusa “Savoia Benincasa”";"Scolastica";"Ministero dell'istruzione, dell'università e della ricerca. IIS Savoia Benincasa";"Presidenza del consiglio dei ministri e ministeri"
"IT-AN0354";"Biblioteca Federazione Clarisse Cappuccine";"Di conservazione";"Federazione ""Sacra Famiglia"" Monache Clarisse Cappuccine d'Italia";"Enti ecclesiastici"
"IT-AN0355";"Biblioteca Federico II Hohenstaufen";"Specializzata";"Fondazione Federico II Hohenstaufen";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-AN0356";"Biblioteca IIS Podesti Onesti";"Scolastica";"Ministero dell'istruzione, dell'università e della ricerca. IIS Podesti Onesti";"Presidenza del consiglio dei ministri e ministeri"
"IT-AN0357";"Biblioteca della scuola secondaria di I grado ""Michelangelo Buonarroti"" dell'IC ""Quartieri Nuovi""";"Scolastica";"Ministero dell'istruzione, dell'università e della ricerca. IC ""Quartieri Nuovi""";"Presidenza del consiglio dei ministri e ministeri"
"IT-AO0001";"Biblioteca diocesana";"Di conservazione";"Seminario Vescovile di Aosta";"Enti ecclesiastici"
"IT-AO0002";"Biblioteca capitolare del Duomo";"Specializzata";"Capitolo della Cattedrale di Aosta";"Enti ecclesiastici"
"IT-AO0005";"Biblioteca della Collegiata di S. Orso";"Specializzata";"Capitolo della insigne Collegiata dei SS. Pietro e Orso di Aosta";"Enti ecclesiastici"
"IT-AO0006";"Biblioteca dell'Archivio storico regionale";"Specializzata";"Regione autonoma Valle d'Aosta";"Regione"
"IT-AO0007";"Biblioteca de l'Académie Saint-Anselme d'Aoste";"Specializzata";"Académie Saint-Anselme";"Enti ecclesiastici"
"IT-AO0008";"Biblioteca comunale di ARVIER";"Pubblica";"Comune di Arvier";"Comune"
"IT-AO0009";"Biblioteca comunale di Avise";"Pubblica";"Comune di Avise";"Comune"
